정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
(주)경동세라믹스,89146,642,20,642,20,0,22
(주)경인양행앞,42096,1288,921,1288,921,0,73
(주)경인양행앞,42097,1763,3744,1763,3744,0,183
(주)대한특수금속,39050,1167,63,1167,63,0,41
(주)두남,39135,239,42,239,42,0,9
(주)세모입구(린나이코리아),37585,1307,1663,1307,1663,0,99
(주)세모입구(린나이코리아),40893,324,674,324,674,0,33
(주)스킨이데아,89388,486,2610,486,2610,0,103
(주)스킨이데아,89389,3016,29,3016,29,0,101
(주)씨피엔텍,39133,516,3216,516,3216,0,124
(주)씨피엔텍,39134,2176,420,2176,420,0,86
(주)창원,39029,2949,2842,2949,2842,0,193
(주)창원,39030,3586,3172,3586,3172,0,225
(주)하나금속,39124,5,57,5,57,0,2
17사단.다임메가타운,40895,1983,4555,1983,4555,0,217
17사단입구,40832,5,484,2,484,3,16
2001아울렛,40154,3594,5580,3594,5580,0,305
2001아울렛,40159,29628,13570,29620,13570,8,1439
2001아울렛,40162,10513,20089,10508,20089,5,1020
2001아울렛부평점,40158,4746,4780,4746,4780,0,317
2차풍림아이원,42584,23,11380,23,11380,0,380
3단지,40736,165,1656,165,1656,0,60
3단지관리사무소,40107,1648,343,1648,343,0,66
41번구종점,42174,1869,5763,1869,5763,0,254
510번차고지,36145,919,599,919,599,0,50
540번종점,39470,2976,3939,2919,3939,57,230
6공단사거리,37577,310,2471,309,2471,1,92
6공단입구,37442,720,899,720,899,0,53
6공단입구,37443,1179,1583,1179,1583,0,92
8부두,35181,308,1751,308,1751,0,68
8부두,35182,1589,3414,1589,3414,0,166
CJ인천2공장,35591,443,3078,443,3078,0,117
CJ인천2공장,35592,2203,87,2203,87,0,76
E편한세상,42453,2678,1717,2678,1717,0,146
E편한세상,42649,1301,3564,1297,3564,4,162
E편한세상,42726,3781,1627,3778,1627,3,180
GM물류센터,40568,470,1124,470,1124,0,53
GS25편의점,36142,1104,2396,1083,2396,21,116
GS내리주유소,44130,0,14,0,14,0,0
GS내리주유소,44147,1,2,0,2,1,0
GS칼텍스,35168,561,45,561,45,0,20
GS칼텍스,35557,14,2229,14,2229,0,74
GS칼텍스,89220,135,594,135,594,0,24
GS칼텍스,89224,220,1617,220,1617,0,61
GS칼텍스주유소,39814,254,13,254,13,0,8
HD현대인프라코어,36081,669,1592,669,1592,0,75
HD현대인프라코어,36083,2169,822,2168,822,1,99
HD현대인프라코어후문,36077,10,767,10,767,0,25
HD현대인프라코어후문,36078,3539,551,3531,551,8,136
JC회관,37383,3826,3900,3826,3900,0,257
JST기술연구소,89491,5,1853,5,1853,0,61
JST기술연구소,89492,690,47,687,47,3,24
KCC아파트,42391,2026,1457,2026,1457,0,116
KG스틸,42008,2571,4110,2568,4110,3,222
KTX광명역4번출구,58057,2817,23,2817,23,0,94
KT부평지사,40381,9652,6934,9623,6934,29,552
KT부평지사,40384,7112,12208,7101,12208,11,644
KT서인천지사,42932,1546,2405,1546,2405,0,131
KT서인천지사,42933,1512,954,1512,954,0,82
KT송도지점,38568,648,411,648,411,0,35
KT온수분국,43523,675,286,673,286,2,32
KT인천공항지사,35095,215,72,215,72,0,9
KT인천공항지사,35109,6140,3542,6137,3542,3,322
KT인천지사,37415,6203,4611,6196,4611,7,360
KT인천지사,39319,7958,5053,7947,5053,11,433
KT중동지사,55081,755,188,755,188,0,31
KT중동지사,55082,165,1139,165,1139,0,43
LG마그나,89029,5570,2612,5570,2612,0,272
LG마그나,89264,3151,5399,3151,5399,0,285
LG물류센터,39043,355,98,355,98,0,15
LG물류센터,39044,67,531,67,531,0,19
LG전자(주),42297,4857,4642,4857,4642,0,316
LH1단지,35494,8404,3763,8404,3763,0,405
LH1단지,35495,4511,6120,4511,6120,0,354
LH49단지행복주택아파트,35768,733,1387,733,1387,0,70
LH49단지행복주택아파트,35769,1836,901,1836,901,0,91
LH7단지,35451,3637,2025,3636,2025,1,188
LH7단지,35452,2224,3864,2224,3864,0,202
LH미추홀3단지,37222,3301,5977,3273,5977,28,309
LH미추홀3단지,37635,6659,2943,6647,2943,12,320
LH웨스턴블루힐정문,89184,1737,3674,1736,3674,1,180
LH웨스턴블루힐정문,89185,4408,3429,4404,3429,4,261
NKG물류센터,89212,325,221,325,221,0,18
SK.GS주유소,89230,1301,1385,1300,1385,1,89
SK.GS주유소,89231,1580,1799,1580,1799,0,112
SKLPG충전사업소,35636,764,13,755,13,9,25
SKLPG충전사업소,35638,16,730,5,730,11,24
SK뷰아파트,42888,1372,4474,1372,4474,0,194
SK뷰아파트,42889,6665,1213,6665,1213,0,262
SK스카이뷰,37601,292,28254,292,28254,0,951
SK스카이뷰104동,37587,6657,42,6657,42,0,223
SK스카이뷰109동,37607,7192,56,7192,56,0,241
SK인천석유화학,42767,1018,680,1017,680,1,56
SK인천석유화학,42768,356,816,356,816,0,39
SK주유소,42956,614,647,614,647,0,42
SK주유소앞,35287,1531,135,1527,135,4,55
SK주유소앞,35539,125,1431,125,1431,0,51
SK충전소,35085,49,2235,34,2235,15,76
e편한세상 정문,38624,19681,1635,19676,1635,5,710
e편한세상(109동 앞),32062,790,1250,790,1250,0,68
e편한세상(109동앞),38643,907,492,907,492,0,46
e편한세상1차(정문),35662,551,996,551,996,0,51
e편한세상1차(정문),35663,1456,558,1456,558,0,67
e편한세상계양,41037,13145,3654,13135,3654,10,559
e편한세상계양,41038,5072,12941,5068,12941,4,600
e편한세상부평그랑힐스정문,40928,4964,555,4964,555,0,183
e편한세상부평그랑힐스정문,40929,587,6146,587,6146,0,224
e편한세상부평그랑힐스후문,40930,6446,459,6446,459,0,230
e편한세상영종센텀베뉴정문,35510,1188,4319,1188,4319,0,183
e편한세상영종오션하임,35674,1581,630,1581,630,0,73
e편한세상영종오션하임,35761,675,1524,675,1524,0,73
e편한세상영종하늘도시,35646,553,620,553,620,0,39
e편한세상영종하늘도시,35647,203,380,203,380,0,19
gym80fitness,37081,2871,889,2865,889,6,125
㈜한슬,42814,3,178,3,178,0,6
가경공원,89365,1036,596,1036,596,0,54
가구단지사거리,37455,2735,3444,2734,3444,1,205
가구단지사거리,37456,2639,1915,2639,1915,0,151
가구전시장,42072,350,696,350,696,0,34
가구전시장,42074,906,504,906,504,0,47
가나안마을앞,43904,2,15,2,15,0,0
가나안마을앞,43905,27,1,27,1,0,0
가능포,43969,5,1,3,1,2,0
가능포,43970,3,18,3,18,0,0
가림고등학교,42078,13651,12600,13630,12600,21,875
가야,42807,1160,2,1160,2,0,38
가야,42808,13,1330,13,1330,0,44
가오대입구,80033,135,401,132,401,3,17
가오대입구,80034,62,613,61,613,1,22
가원초등학교,42952,5908,4215,5905,4215,3,337
가원초등학교,89118,2700,5594,2700,5594,0,276
가재우물터,35678,5,5,5,5,0,0
가재우물터,35700,2,7,2,7,0,0
가재울사거리,42039,2388,5636,2387,5636,1,267
가재울사거리,42042,8194,4706,8190,4706,4,430
가재울역,42034,2296,2899,2289,2899,7,173
가재울역,42035,1928,996,1917,996,11,97
가정(루원시티)역,89050,7028,52744,7028,52744,0,1992
가정(루원시티)역,89051,71545,9043,71545,9043,0,2686
가정(루원시티)역,89075,74498,85559,74476,85559,22,5335
가정(루원시티)역,89078,78528,71437,78508,71437,20,4998
가정3동성당,42226,407,2881,407,2881,0,109
가정LH3단지정문앞,89041,18104,4182,18096,4182,8,742
가정고등학교,42200,11081,4072,11048,4072,33,505
가정고등학교,42203,3126,7420,3118,7420,8,351
가정교,89502,92,1215,92,1215,0,43
가정교,89503,1966,291,1966,291,0,75
가정교차로,89390,548,874,548,874,0,47
가정교차로,89391,325,2751,325,2751,0,102
가정동성당,89102,3233,3718,3233,3718,0,231
가정동성당,89105,2634,1563,2632,1563,2,139
가정보금자리,89119,1616,701,1616,701,0,77
가정보금자리,89120,194,1483,194,1483,0,55
가정여자중학교,42041,1121,7609,1111,7609,10,291
가정여자중학교,89527,521,1880,514,1880,7,80
가정중앙시장역,42215,1106,1754,1106,1754,0,95
가정중앙시장역,42219,1115,1352,1115,1352,0,82
가정택지삼거리,89385,279,147,279,147,0,14
가정택지삼거리,89386,200,609,200,609,0,26
가정휴먼시아3단지,89186,892,1581,892,1581,0,82
가정휴먼시아3단지,89187,1416,932,1416,932,0,78
가좌2동행정복지센터,42073,5503,337,5486,337,17,194
가좌2동행정복지센터,42076,154,5709,141,5709,13,195
가좌3동행정복지센터,42075,11733,13246,11715,13246,18,832
가좌4동행정복지센터,42062,3735,1847,3735,1847,0,186
가좌고등학교,42060,14373,12438,14328,12438,45,893
가좌고등학교,42061,5763,8269,5746,8269,17,467
가좌공단,42526,34,9049,33,9049,1,302
가좌공단,42945,6857,284,6855,284,2,238
가좌교회,42055,2677,2641,2677,2641,0,177
가좌교회,42057,3632,3828,3632,3828,0,248
가좌녹지공원,42029,1718,3512,1717,3512,1,174
가좌녹지공원,42030,2005,1348,1994,1348,11,111
가좌농협,42066,8438,6272,8413,6272,25,490
가좌농협,42067,5445,5628,5422,5628,23,369
가좌동차고,42939,2267,379,2231,379,36,88
가좌동차고지,42522,68,837,54,837,14,30
가좌두산위브104동앞,42090,4269,3359,4269,3359,0,254
가좌사거리,42043,45,233,39,233,6,9
가좌사거리,42044,430,3496,428,3496,2,130
가좌진주아파트,42100,13601,29201,13578,29201,23,1426
가좌초등학교,42069,3523,3979,3523,3979,0,250
가좌초등학교,42070,4587,2406,4587,2406,0,233
가좌테니스장,37454,2067,956,2067,956,0,100
가좌테니스장,37457,765,1128,765,1128,0,63
가좌현대아파트,42130,7956,2010,7945,2010,11,332
가좌현대아파트,42133,742,8216,742,8216,0,298
가좌홈플러스(쌍마아파트),42101,11227,7375,11206,7375,21,620
가좌홈플러스(쌍마아파트),42103,7449,12065,7414,12065,35,650
가좌환경사업소,42631,6301,3991,6300,3991,1,343
가좌환경사업소 북측,89341,222,365,222,365,0,19
가좌환경사업소북측,89342,34,261,34,261,0,9
가천대학교,38270,1112,1063,1112,1063,0,72
가천대학교,38284,7605,2760,7605,2760,0,345
가천대학교(노인복지회관),38269,770,1116,770,1116,0,62
가천의대,43237,3,41,3,41,0,1
가천의대,43897,39,1,39,1,0,1
가톨릭대,43156,3,2,3,2,0,0
가톨릭대,43325,1,74,1,74,0,2
가현오일뱅크,42734,44,31,43,31,1,2
가현중학교,42722,2881,2719,2879,2719,2,186
가현초교앞(루에블리아파트),89242,2176,3543,2176,3543,0,190
가현초교앞(센트럴타운아파트),89243,4600,1380,4600,1380,0,199
각곡,43602,3,94,3,94,0,3
각곡,43772,135,8,130,8,5,4
간석4거리,39538,244,261,241,261,3,16
간석4동새마을금고,39343,3392,5550,3386,5550,6,298
간석4동새마을금고,39346,2740,2566,2737,2566,3,176
간석4동행정복지센터,39403,3816,7264,3816,7264,0,369
간석4동행정복지센터,39412,5015,2492,5015,2492,0,250
간석금호어울림아파트,39334,25791,14331,25776,14331,15,1337
간석남부역,37429,3900,914,3900,914,0,160
간석남부역,37435,10574,7244,10510,7244,64,593
간석남부역,37529,1712,3469,1712,3469,0,172
간석동용광경로당,39394,976,582,968,582,8,51
간석래미안.자이,39333,15294,16520,15291,16520,3,1060
간석북부역,39806,4275,99,4275,99,0,145
간석북부역,39807,43,2803,43,2803,0,94
간석북부역·우성1차,39368,12807,5011,12807,5011,0,593
간석북부역·우성1차,39370,5384,10256,5384,10256,0,521
간석사거리,39413,12829,9369,12823,9369,6,739
간석사거리,39414,4846,9285,4845,9285,1,471
간석사거리,39430,2743,2512,2730,2512,13,175
간석사거리(상인천중학교),39422,12504,28545,12479,28545,25,1368
간석사거리(상인천중학교),39426,30773,19174,30733,19174,40,1664
간석시장,39434,12443,29015,12398,29015,45,1381
간석시장,39436,54543,30069,54460,30069,83,2820
간석시장,39437,15473,22160,15473,22160,0,1254
간석오거리,39460,15003,13594,14997,13594,6,953
간석오거리,39597,3961,3360,3958,3360,3,244
간석오거리(교원공제조합),39444,34515,28638,34470,28638,45,2105
간석오거리(인천웨딩홀),39406,7870,11796,7870,11796,0,655
간석오거리(인천웨딩홀),39423,32496,19940,32483,19940,13,1747
간석오거리역(7번출구),39447,15760,31902,15755,31902,5,1588
간석오거리역(8번출구),39449,59537,70068,59515,70068,22,4320
간석지구대,39535,653,617,648,617,5,42
간석지구대,39536,512,745,501,745,11,41
간석풍림아파트,92053,748,549,741,549,7,43
간석한신더휴아파트맞은편,37447,2480,513,2480,513,0,99
간재울초등학교,42347,5450,3352,5450,3352,0,293
간촌,43504,13,58,13,58,0,2
간촌,43518,76,26,76,26,0,3
갈산대동아파트,40550,330,838,330,838,0,38
갈산동아아파트,40567,1990,1702,1990,1702,0,123
갈산동입구,40622,54,3846,54,3846,0,130
갈산동천주교회,40652,804,4986,804,4986,0,193
갈산동천주교회맞은편,40650,6560,5217,6560,5217,0,392
갈산두산아파트,40544,4485,5709,4483,5709,2,339
갈산사거리,40631,2598,4450,2598,4450,0,234
갈산사거리,40634,3373,4499,3373,4499,0,262
갈산새마을금고,40635,8300,2170,8300,2170,0,349
갈산시장,40628,5831,6056,5830,6056,1,396
갈산시장.갈산도서관,40629,2233,5142,2233,5142,0,245
갈산역,40601,33545,11567,33544,11567,1,1503
갈산역,40602,9648,40688,9636,40688,12,1677
갈산역(1번출구),40604,21478,6522,21465,6522,13,933
갈산역(부평4공단)4번출구,40606,6122,16362,6106,16362,16,749
갈산주공1단지,40578,3199,2353,3199,2353,0,185
갈산주공1단지105동,40813,4265,2649,4265,2649,0,230
갈산주공2단지,40562,497,1238,497,1238,0,57
갈산주공2단지,40577,4043,6874,4041,6874,2,363
갈산태화아파트,40542,666,1078,666,1078,0,58
갈산태화아파트,40664,3576,689,3576,689,0,142
갈산태화아파트,40666,206,1358,206,1358,0,52
갈산태화아파트,40667,456,2412,456,2412,0,95
갈월초등학교,40531,122,1046,122,1046,0,38
갈현경로당,41491,38,458,38,458,0,16
갈현경로당앞,41607,298,54,298,54,0,11
갈현교,41608,21,1,21,1,0,0
갈현교,41609,1,34,1,34,0,1
갈현교입구,41492,193,27,193,27,0,7
갈현교입구,41617,18,201,18,201,0,7
갈현동마을,41351,727,662,727,662,0,46
갈현동마을,41352,223,1243,223,1243,0,48
갑곶돈대.강화전쟁박물관,43365,4,5,4,5,0,0
갑곶돈대.강화전쟁박물관,43728,1,19,1,19,0,0
갑곶돈대입구,43367,5,10,5,10,0,0
갑곶돈대입구,43726,29,6,29,6,0,1
갑륭초교,43374,4,4,4,4,0,0
갑륭초교,43724,6,217,6,217,0,7
갑문,35125,9,427,9,427,0,14
갑문,35504,187,12,187,12,0,6
강남시장,42172,18745,13049,18725,13049,20,1059
강남시장,42173,11931,11303,11918,11303,13,774
강남역도시에빛,31076,4402,6281,4402,6281,0,356
강남역서초현대타워앞,31016,42130,26310,42130,26310,0,2281
강남중교,43213,204,9,204,9,0,7
강남중교,43278,48,219,47,219,1,8
강서중학교,43660,12,127,11,127,1,4
강서중학교,43898,116,6,115,6,1,4
강인여객,40020,876,1342,876,1342,0,73
강인여객,40022,1146,804,1146,804,0,65
강화갯벌장어,43671,1,2,1,2,0,0
강화경찰서,43209,197,33,187,33,10,7
강화경찰서,43624,5,191,5,191,0,6
강화고등학교,43564,3,40,3,40,0,1
강화고등학교,43761,114,69,112,69,2,6
강화군 행복센터,43055,157,1704,156,1704,1,62
강화군 행복센터,43056,1,305,1,305,0,10
강화군노인문화센터,90373,4,15,4,15,0,0
강화군노인문화센터,90374,58,12,58,12,0,2
강화군청,43065,3676,906,3601,906,75,152
강화군청,43108,791,2630,788,2630,3,114
강화루지.강남상회,43150,206,77,204,77,2,9
강화루지.강남상회,43250,101,246,101,246,0,11
강화마니산,43001,36,55,36,55,0,3
강화마니산,43002,488,220,483,220,5,23
강화문화원.종합전시관,43097,2,39,2,39,0,1
강화문화원.종합전시관,43098,68,638,67,638,1,23
강화병원,43088,41,1625,41,1625,0,55
강화병원,43089,887,44,886,44,1,31
강화산단,90123,0,15,0,15,0,0
강화산단입구,90096,6,38,6,38,0,1
강화산단입구,90097,14,1,14,1,0,0
강화산성서문,43080,3,81,3,81,0,2
강화산성서문,43081,22,88,22,88,0,3
강화서문,43063,778,459,776,459,2,41
강화서문,43064,430,525,425,525,5,31
강화소방서,43364,35,260,34,260,1,9
강화소방서,43587,241,39,240,39,1,9
강화수양관앞,43467,70,31,70,31,0,3
강화수양관앞,43732,8,39,8,39,0,1
강화슈퍼,43066,518,1246,514,1246,4,58
강화슈퍼,43068,1711,498,1668,498,43,73
강화실버케어스앞,43975,40,142,40,142,0,6
강화실버케어스앞,43976,42,71,42,71,0,3
강화여자중학교,90334,0,37,0,37,0,1
강화역사박물관(고인돌),43601,307,29,290,29,17,11
강화역사박물관(고인돌),43670,20,406,20,406,0,14
강화장례식장,43918,1474,83,1440,83,34,51
강화장례식장,43946,40,1979,35,1979,5,67
강화중학교,43207,19,39,19,39,0,1
강화중학교,43623,10,37,10,37,0,1
강화터미널,43058,4,2,4,2,0,0
강화터미널,43096,52701,34386,51859,34386,842,2902
개항동 어울터,35197,8638,1814,8638,1814,0,348
개항동 어울터,35198,1983,8569,1983,8569,0,351
개화2치안센터,25023,26,1582,26,1582,0,53
개화2치안센터,25024,2065,47,2065,47,0,70
개화역1번출구.개화검문소,25030,135,6836,135,6836,0,232
개화역1번출구.개화검문소,25031,2326,257,2326,257,0,86
개화역광역환승센터,25182,1250,2033,1250,2033,0,109
갤러리84입구,35666,72,13,72,13,0,2
갤러리84입구,35667,32,60,32,60,0,3
갯벌슈퍼,43410,2,19,2,19,0,0
갯벌슈퍼,43513,2,1,2,1,0,0
거북시장,42132,12613,11455,12551,11455,62,802
거북시장,42136,12065,10465,12046,10465,19,751
거산정공.(주)록키,39137,1386,1754,1383,1754,3,104
거잠포선착장,35302,86,480,86,480,0,18
거잠포선착장,35303,301,101,301,101,0,13
거잠포회센터,35588,96,84,96,84,0,6
건설기술교육원,39353,6566,11181,6566,11181,0,591
건설기술교육원,39354,5198,4343,5198,4343,0,318
건영아파트·나사렛국제병원,38069,16266,41063,16250,41063,16,1910
건일아파트,43015,562,291,561,291,1,28
건일아파트,43094,230,354,229,354,1,19
건지사거리,42882,86,1,86,1,0,2
건지사거리,42883,0,301,0,301,0,10
건평,43168,174,64,171,64,3,7
건평,43186,0,66,0,66,0,2
건평리,43187,61,2,61,2,0,2
건평리,43651,5,40,5,40,0,1
건평마을회관,43594,27,29,27,29,0,1
건평입구,43170,0,16,0,16,0,0
건평입구,43331,7,19,7,19,0,0
걸포북변역,35560,60,4970,60,4970,0,167
걸포북변역,35610,1588,76,1588,76,0,55
걸포사거리.우리병원,35561,123,55,123,55,0,5
검단1차피오레·금호어울림아파트,89457,484,172,484,172,0,21
검단1차피오레·금호어울림아파트,89458,34,610,34,610,0,21
검단LH행복주택,89408,11461,3728,11461,3728,0,506
검단공구상가,89053,27,551,27,551,0,19
검단공구상가,89065,445,238,445,238,0,22
검단노인복지관,42695,188,549,183,549,5,24
검단농기구센터,89316,158,1,155,1,3,5
검단농기구센터,89324,2,208,2,208,0,7
검단농협,42432,25928,8906,25907,8906,21,1161
검단농협,42434,5647,13918,5636,13918,11,652
검단대성베르힐,89467,2133,720,2133,720,0,95
검단동행정복지센터(검단고교),42441,3736,7921,3729,7921,7,388
검단동행정복지센터(검단고교),42445,4858,4398,4855,4398,3,308
검단디에트르리버파크,89476,1029,4929,1029,4929,0,198
검단디에트르리버파크,89477,3851,1042,3851,1042,0,163
검단로제비앙라포레,89483,2551,16,2551,16,0,85
검단로지스틱스파크,41339,1194,412,1193,412,1,53
검단로지스틱스파크,42395,242,2906,242,2906,0,104
검단메가박스,42383,2083,1772,2081,1772,2,128
검단메가박스,42384,538,1196,538,1196,0,57
검단모아미래도엘리트,89466,1568,4556,1568,4556,0,204
검단모아엘가그랑데아파트,42483,7686,1423,7686,1423,0,303
검단사거리역,42419,15789,14854,15776,14854,13,1021
검단사거리역,42426,1921,8661,1917,8661,4,352
검단사거리역,42427,7764,2693,7756,2693,8,348
검단사거리역,42537,11667,14069,11653,14069,14,857
검단소방서,42428,1281,4418,1280,4418,1,189
검단소방서,42431,327,2504,325,2504,2,94
검단신도시우미린리버포레,89409,5431,10839,5431,10839,0,542
검단신안인스빌어반퍼스트,89511,2249,56,2249,56,0,76
검단신안인스빌어반퍼스트,89512,125,1384,125,1384,0,50
검단예미지트리플에듀아파트,89484,39,1058,39,1058,0,36
검단오류공단,42702,8,646,8,646,0,21
검단오류공단,42703,227,5,227,5,0,7
검단오류역,89057,6202,691,6197,691,5,229
검단오류역,89060,629,6069,626,6069,3,223
검단오류역우방아이유쉘,89067,573,1008,573,1008,0,52
검단오류역우방아이유쉘,89068,1136,374,1129,374,7,50
검단오류풍림아이원,89251,142,408,142,408,0,18
검단오류풍림아이원,89252,445,208,445,208,0,21
검단우미린더헤리티지,89525,249,178,249,178,0,14
검단우미린더헤리티지,89526,181,788,181,788,0,32
검단우미린파크뷰1단지,89499,1029,291,1029,291,0,44
검단우미린파크뷰1단지,89500,256,177,256,177,0,14
검단우미린파크뷰2단지,89469,5066,1836,5066,1836,0,230
검단우미린파크뷰2단지,89501,2267,3842,2267,3842,0,203
검단우방아이유쉘아파트,42688,273,390,270,390,3,22
검단원흥아파트,42400,1709,994,1707,994,2,90
검단원흥아파트,42401,1063,2504,1059,2504,4,118
검단지식산업센타,89054,7017,200,7011,200,6,240
검단지식산업센타,89063,216,4985,214,4985,2,173
검단초등학교,42475,8149,3728,8135,3728,14,395
검단초등학교,42482,3382,5737,3379,5737,3,303
검단초등학교,89332,165,125,165,125,0,9
검단초등학교,89333,93,173,90,173,3,8
검단출장소,42423,13837,10762,13837,10762,0,819
검단출장소,42424,4281,8783,4279,8783,2,435
검단탑종합병원,42877,453,544,453,544,0,33
검단하나아파트,42421,1915,493,1910,493,5,80
검단하나아파트,42422,275,399,274,399,1,22
검단힐스테이트5차아파트,42557,4,108,4,108,0,3
검단힐스테이트5차아파트,42558,206,542,206,542,0,24
검문소,43662,4,3,4,3,0,0
검문소,43812,7,36,7,36,0,1
검문소,90042,0,3,0,3,0,0
검문소,90043,211,225,203,225,8,14
검바위역,42348,4701,920,4694,920,7,187
검바위역,42349,1213,5077,1212,5077,1,209
검암경서동행정복지센터,42352,2106,5261,2106,5261,0,245
검암경서동행정복지센터,42353,5788,1707,5788,1707,0,249
검암사거리,42356,2534,4016,2530,4016,4,218
검암사거리,42357,5514,2288,5509,2288,5,260
검암사거리,42358,7336,2040,7336,2040,0,312
검암역(시내방면),42364,9603,356,9590,356,13,331
검암역(원당방면),42363,4083,26688,4078,26688,5,1025
검암역.서해그랑블아파트,42360,6255,5442,6255,5442,0,389
검암역로열파크씨티푸르지오1단지,89167,12001,137,11972,137,29,404
검암역로열파크씨티푸르지오1단지,89168,25,10357,24,10357,1,346
검암역로열파크씨티푸르지오2단지,89169,614,36,614,36,0,21
검암역로열파크씨티푸르지오2단지,89170,39,5444,38,5444,1,182
검암역입구,42851,22605,8358,22602,8358,3,1032
검암역입구,42852,10806,14653,10802,14653,4,848
검암역입구(시천교밑),89250,11434,2784,11434,2784,0,473
검암중학교,42359,3587,1630,3586,1630,1,173
검암중학교,42362,2319,2647,2319,2647,0,165
검암초등학교,42361,401,5630,401,5630,0,201
겐트대학교글로벌캠퍼스,38769,45,0,45,0,0,1
겐트대학교글로벌캠퍼스,38770,59,716,59,716,0,25
경기국제통상고.포도마을뉴서울.중앙공원,55042,542,1749,542,1749,0,76
경기국제통상고.포도마을뉴서울.중앙공원,55043,1219,974,1219,974,0,73
경기도교육청학생교육원,43162,0,70,0,70,0,2
경기도교육청학생교육원,43222,171,18,170,18,1,6
경기주유소,43051,120,422,117,422,3,18
경남1차,40343,7886,420,7801,420,85,276
경남1차아파트,40376,12469,7523,12458,7523,11,666
경남2차,40305,8291,92,8273,92,18,279
경남아너스빌,42099,2850,1340,2850,1340,0,139
경남아너스빌,42102,1343,2512,1343,2512,0,128
경남아너스빌아파트,42110,5075,2996,5075,2996,0,269
경남아너스빌아파트,42111,1833,2721,1833,2721,0,151
경남아파트,35143,6945,2485,6937,2485,8,314
경남아파트,35147,1704,3031,1699,3031,5,157
경남아파트,38281,7529,7169,7526,7169,3,489
경남아파트,41011,14713,3798,14675,3798,38,617
경남아파트,41014,3680,7524,3677,7524,3,373
경남아파트,42332,6736,3543,6736,3543,0,342
경남아파트,42334,3399,6725,3399,6725,0,337
경남아파트308동앞,40334,53,5823,53,5823,0,195
경남아파트311동앞,40300,14,4445,14,4445,0,148
경남아파트313동앞,40287,34,8292,26,8292,8,277
경동택배,89315,116,11,112,11,4,4
경동택배,89325,3,66,3,66,0,2
경명초등학교,89216,1449,507,1449,507,0,65
경명초등학교,89277,4938,7504,4938,7504,0,414
경명초등학교,89278,4031,6071,4031,6071,0,336
경방신약,39136,4131,1155,4131,1155,0,176
경복예식장,39399,10350,5344,10324,5344,26,523
경서농원,42333,159,627,159,627,0,26
경서농원,42335,68,1099,67,1099,1,38
경서지구입구,42303,1183,6091,1183,6091,0,242
경서지구입구,42671,2432,2416,2430,2416,2,161
경서지구입구,42672,3579,3110,3579,3110,0,222
경서초등학교,42569,4151,2563,4151,2563,0,223
경서초등학교,42570,2833,2765,2833,2765,0,186
경신마을,39646,140,137,140,137,0,9
경신마을,39982,72,328,72,328,0,13
경신아파트,41216,1795,952,1795,952,0,91
경신아파트,41223,1790,3337,1790,3337,0,170
경연초중학교,89271,6678,3764,6678,3764,0,348
경연초중학교,89272,3019,5331,3019,5331,0,278
경연초중학교·청라센텀로제비앙,89286,2825,1491,2824,1491,1,143
경연초중학교·호반베르디움6차,89285,2055,1924,2054,1924,1,132
경인계량소,42549,887,4,887,4,0,29
경인계량소,42550,2,693,2,693,0,23
경인교대.부평향교,41138,936,1153,936,1153,0,69
경인교대.부평향교,41139,1021,896,1021,896,0,63
경인교대역입구,41428,7658,6487,7658,6487,0,471
경인교대역입구,41429,7116,8301,7116,8301,0,513
경인교회앞,40077,903,3135,903,3135,0,134
경인방송,37003,152,128,152,128,0,9
경인방송,37004,42,314,42,314,0,11
경인산업,39688,745,1626,745,1626,0,79
경인아라뱃길여객터미널,42869,310,7,310,7,0,10
경인여대,41277,7126,11245,7126,11245,0,612
경인여대,41278,3867,5158,3867,5158,0,300
경인특장,42547,269,1,269,1,0,9
경인항다목적부두,89151,119,6,119,6,0,4
경인항다목적부두,89152,0,207,0,207,0,6
경전말,43934,31,1,29,1,2,1
경제자유구역청,38514,2040,2300,2040,2300,0,144
경제자유구역청,38515,2622,3758,2618,3758,4,212
경진브로아,39042,905,1257,905,1257,0,72
경흥빌라,43372,601,6,598,6,3,20
경흥빌라,43616,9,279,9,279,0,9
경희유치원앞,39991,136,561,136,561,0,23
경희유치원앞,39992,182,89,182,89,0,9
계량소,40195,2072,349,2056,349,16,80
계룡리슈빌,55225,4423,934,4423,934,0,178
계산공고,41167,3103,3892,3101,3892,2,233
계산공고,41170,4813,7153,4813,7153,0,398
계산공고앞,41169,2440,1821,2437,1821,3,142
계산국민체육센터,41276,1797,2928,1791,2928,6,157
계산국민체육센터,41613,2101,2328,2085,2328,16,147
계산동수협,41533,3464,4017,3464,4017,0,249
계산동아아파트,41231,266,0,266,0,0,8
계산동우체국,41427,7680,3656,7680,3656,0,377
계산삼거리,41196,291,241,291,241,0,17
계산삼거리(신도브래뉴),41199,9744,8978,9744,8978,0,624
계산삼거리(신도브래뉴),41201,4111,7823,4111,7823,0,397
계산시장,41176,3791,4226,3791,4226,0,267
계산여고,41576,767,1687,765,1687,2,81
계산여자고등학교,41224,715,1312,715,1312,0,67
계산역,41247,6070,4518,6057,4518,13,352
계산역,41371,12514,4600,12514,4600,0,570
