정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
하정초등학교,40044,1857,1043,1857,1043,0,96
하정초등학교,40046,794,2107,794,2107,0,96
학마을한진아파트정문,41293,2085,2571,2085,2571,0,155
학산사거리,37025,6696,227,6696,227,0,230
학산사거리,37027,189,3575,189,3575,0,125
학산사거리,37562,1840,1377,1840,1377,0,107
학산소극장,37169,19184,3601,19179,3601,5,759
학산소극장,37173,8029,16549,8028,16549,1,819
학생안전체험관,39284,2628,5105,2628,5105,0,257
학익.원흥아파트,37015,2000,49,2000,49,0,68
학익2동행정복지센터,37150,13479,7295,13457,7295,22,692
학익2동행정복지센터,37151,7726,13319,7711,13319,15,701
학익고등학교,37029,11199,2742,11199,2742,0,464
학익고등학교,37505,3347,10828,3347,10828,0,472
학익동구치소,37139,385,985,385,985,0,45
학익동성당앞,37630,1517,26,1517,26,0,51
학익동성당앞,37631,105,695,105,695,0,26
학익사거리,37058,32,713,32,713,0,24
학익사거리,37075,3138,1425,3138,1425,0,152
학익사거리,37077,2220,6214,2220,6214,0,281
학익사거리(동아풍림아파트),37084,11018,4859,11000,4859,18,529
학익사거리(동아풍림아파트),37089,9314,9327,9282,9327,32,621
학익시장,37106,14190,5470,14181,5470,9,655
학익시장,37112,3524,11554,3511,11554,13,502
학익시장(법원검찰청),37080,9433,4313,9419,4313,14,458
학익시장앞,37082,3893,5182,3893,5182,0,302
학익여자고등학교,37140,525,1179,525,1179,0,56
학익여자고등학교,37566,695,1113,695,1113,0,60
학익풍림아파트,37487,20,2845,20,2845,0,95
한가라지고개,90157,4,2,4,2,0,0
한가라지고개,90158,3,8,3,8,0,0
한가라지입구,90159,25,1,24,1,1,0
한가라지입구,90160,2,11,2,11,0,0
한가람마을우미린.호수이편한세상,80318,1025,3306,1025,3306,0,144
한강센트럴블루힐.모아엘가2차,80375,283,354,283,354,0,21
한국가스공사,39061,650,1001,650,1001,0,55
